_id,consulta,respuesta.nombre,respuesta.posicion,respuesta.altura_metros,respuesta.peso_libras,respuesta.equipo_id,respuesta.estadisticas,respuesta.nombre_equipo,respuesta.abreviacion_equipo,respuesta.ciudad_equipo,respuesta.conferencia_equipo,respuesta.division_equipo,respuesta.partidos_jugados,respuesta.minutos_jugados_promedio_por_partido,respuesta.canasta_encestada_promedio_por_partido,respuesta.tiro_3puntos_encestados_promedio_por_partido,respuesta.tiros_libres_encestados_promedio_por_partido,respuesta.rebotes_ofensivos_promedio_por_partido,respuesta.rebotes_defensivos_promedio_por_partido,respuesta.asistencias_promedio_por_partido,respuesta.recuperacion_balon_promedio_por_partido,respuesta.tiros_taponados_promedio_por_partido,respuesta.perdida_balon_promedio_por_partido,respuesta.faltas_personales_promedio_por_partido,respuesta.puntos_anotados_promedio_por_partido,respuesta.porcentaje_tiros_encestados
64e619cf06571c06e374382c,zach lavine,Zach LaVine,Base y Escolta,1.96,200,5,,Chicago Bulls,CHI,Chicago,East,Central,79,36:02,8.75,2.61,4.8,0.54,3.95,4.2,0.9,0.23,2.57,2.06,24.9,0.483
64e619d206571c06e374382d,derrick rose,Derrick Rose,Base y Escolta,1.91,200,20,,New York Knicks,NYK,New York,East,Atlantic,27,12:33,2.26,0.7,0.41,0.3,1.19,1.7,0.26,0.19,0.81,0.67,5.63,0.384
64e619d406571c06e374382e,andre drummond,Andre Drummond,Pívot,2.11,279,5,,Chicago Bulls,CHI,Chicago,East,Central,69,12:29,2.46,0,0.97,2.04,4.52,0.48,0.65,0.42,1.09,1.7,5.9,0.607
64e619d506571c06e374382f,buddy hield,Buddy Hield,Base y Escolta,1.93,214,12,,Indiana Pacers,IND,Indiana,East,Central,80,31:05,5.94,3.6,1.33,0.84,4.16,2.81,1.15,0.33,1.74,1.95,16.8,0.458
64e619d606571c06e3743830,clint capela,Clint Capela,Pívot,2.08,240,1,,Atlanta Hawks,ATL,Atlanta,East,Southeast,66,26:38,5.33,0,1.2,4.03,7.15,0.89,0.68,1.23,0.83,2.12,11.86,0.653
64e619d806571c06e3743831,jarrett allen,Jarrett Allen,Pívot,2.11,237,6,,Cleveland Cavaliers,CLE,Cleveland,East,Central,68,32:45,5.93,0.01,2.38,3.25,6.54,1.66,0.79,1.24,1.37,2.25,14.25,0.644
64e619d906571c06e3743832,kyle kuzma,Kyle Kuzma,Alero,2.06,220,30,,Washington Wizards,WAS,Washington,East,Southeast,64,35:00,8,2.5,2.7,0.86,6.38,3.73,0.56,0.45,2.97,2.27,21.2,0.448
64e619da06571c06e3743833,darius garland,Darius Garland,Base y Escolta,No se dispone de esta información,,6,,Cleveland Cavaliers,CLE,Cleveland,East,Central,69,35:29,7.57,2.45,4.01,0.41,2.28,7.8,1.23,0.13,2.88,2.14,21.59,0.462
64e619dc06571c06e3743834,jerami grant,Jerami Grant,Alero,2.06,220,25,,Portland Trail Blazers,POR,Portland,West,Northwest,63,35:37,6.89,2.29,4.41,0.84,3.65,2.38,0.81,0.84,1.84,2.41,20.48,0.475
64e619dd06571c06e3743835,montrezl harrell,Montrezl Harrell,Alero y Pivot,2.03,240,23,,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,57,11:57,2.19,0,1.23,1.18,1.61,0.58,0.3,0.44,0.61,1.32,5.61,0.598
64e619de06571c06e3743836,michael carter-williams,Michael Carter-Williams,Base y Escolta,No se dispone de esta información,,22,,Orlando Magic,ORL,Orlando,East,Southeast,4,11:15,1.5,0.25,1,0.25,1,1.75,0.25,0.25,1,1.25,4.25,0.429
64e619e006571c06e3743837,jaxson hayes,Jaxson Hayes,Pívot,No se dispone de esta información,,19,,New Orleans Pelicans,NOP,New Orleans,West,Southwest,48,13:02,1.83,0.06,1.25,0.85,2.08,0.75,0.42,0.38,0.67,1.48,4.98,0.557
64e619e106571c06e3743838,evan mobley,Evan Mobley,Alero y Pivot,No se dispone de esta información,,6,,Cleveland Cavaliers,CLE,Cleveland,East,Central,79,34:25,6.65,0.28,2.59,2.37,6.63,2.84,0.76,1.51,1.86,2.76,16.16,0.554
